city,neighborhood,beds,baths,sqft,year_built,in_unit_laundry,dishwasher,hardwood_floors,recently_renovated,pets_allowed,parking,floor,has_elevator,rent
Cambridge,Inman Square,1,2,1001,1947,0,0,1,0,0,street_only,1,0,3127.35
Cambridge,Harvard Square,1,3,907,1997,0,1,1,0,1,off_street,4,1,3766.45
Cambridge,Harvard Square,2,2,709,1913,0,0,0,0,0,garage,5,0,3590.15
Cambridge,Inman Square,3,3,1240,1939,1,0,0,0,0,street_only,1,1,4481.0
Cambridge,Central Square,3,1,1258,1980,0,0,1,0,1,street_only,5,0,4071.3
Cambridge,Central Square,4,2,1640,1946,1,1,1,0,0,garage,4,1,5492.0
Cambridge,Harvard Square,3,1,1522,1991,1,1,0,0,1,off_street,3,1,5227.7
Cambridge,Central Square,3,1,783,2020,0,1,1,0,0,off_street,4,0,3784.05
Cambridge,Central Square,4,3,1014,1892,1,0,1,1,1,garage,1,1,5140.9
Cambridge,Harvard Square,4,1,1039,2018,1,0,0,0,1,off_street,5,0,4705.65
Cambridge,Kendall Square,2,3,1586,1890,0,0,0,0,1,garage,2,0,5269.1
Cambridge,Inman Square,1,2,641,1922,0,0,1,0,1,garage,2,0,2909.35
Cambridge,Central Square,3,2,1559,2005,0,0,0,0,0,street_only,1,0,4664.65
Cambridge,Harvard Square,1,1,1176,1908,0,0,0,0,1,off_street,5,1,3631.6
Cambridge,Central Square,4,1,693,1914,1,0,0,1,0,off_street,1,0,4156.55
Cambridge,Kendall Square,1,1,892,1938,0,0,0,0,1,street_only,4,0,3314.2
Cambridge,Inman Square,1,1,840,1994,0,0,0,0,0,garage,3,1,2890.0
Cambridge,Central Square,4,1,888,1965,0,0,1,0,0,street_only,5,1,4095.8
Cambridge,Harvard Square,1,3,664,1937,0,0,1,0,1,off_street,2,0,3262.4
Cambridge,Central Square,3,2,918,1970,0,0,1,0,0,street_only,1,1,3992.3
Cambridge,Inman Square,1,3,936,2019,0,1,1,1,0,street_only,4,1,3728.6
Cambridge,Inman Square,3,1,775,1957,0,0,1,0,1,off_street,3,0,3461.25
Cambridge,Central Square,3,1,689,1998,1,0,0,0,1,street_only,4,1,3677.15
Cambridge,Inman Square,1,1,805,1899,1,1,0,0,0,street_only,3,0,2858.75
